time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
530126,1,8,70024,70024,530126,460102,460102,460102,0,0,0
2059695,2,4,135296,135296,2059695,1924399,1924399,1924399,0,0,0
3184992,4,4,265278,265278,3184992,2919714,2919714,2919714,0,0,0
3756013,7,8,318802,318802,3756013,3437211,3437211,3437211,0,0,0
5113466,8,8,319542,319542,5113466,4793924,4793924,4793924,0,0,0
6167771,11,16,323049,323049,6167771,5844722,5844722,5844722,0,0,0
6498729,13,16,324387,324387,6498729,6174342,6174342,6174342,0,0,0
6720840,0,4,0,0,6720840,6720840,6720840,6720840,0,0,0
6813556,18,16,394933,6498729,6813556,314827,6418623,314827,6103796,0,0
9766457,15,16,394438,2059695,9766457,7706762,9372019,7706762,1665257,0,0
11166106,16,16,394610,5113466,11166106,6052640,10771496,6052640,4718856,0,0
11260401,9,8,319849,319849,11260401,10940552,10940552,10940552,0,0,0
11925243,21,16,400593,9766457,11925243,2158786,11524650,2158786,9365864,0,0
12211582,24,16,401067,11925243,12211582,286339,11810515,286339,11524176,0,0
12435772,22,16,400756,11166106,12435772,1269666,12035016,1269666,10765350,0,0
14757961,17,16,394774,6167771,14757961,8590190,14363187,8590190,5772997,0,0
14759223,32,1,664372,14757961,14759223,1262,14094851,1262,14093589,0,0
14783460,33,1,664544,14757961,14783460,25499,14118916,25499,14093417,0,0
14908817,31,1,664358,14757961,14908817,150856,14244459,150856,14093603,0,0
15029028,25,8,401222,12211582,15029028,2817446,14627806,2817446,11810360,0,0
15029791,41,1,737793,15029028,15029791,763,14291998,763,14291235,0,0
15033312,38,1,737775,15029028,15033312,4284,14295537,4284,14291253,0,0
15054831,42,1,737803,15029028,15054831,25803,14317028,25803,14291225,0,0
15059841,39,1,737781,15029028,15059841,30813,14322060,30813,14291247,0,0
15060118,45,1,737821,15033312,15060118,26806,14322297,26806,14295491,0,0
15065686,47,1,737837,15059841,15065686,5845,14327849,5845,14322004,0,0
15077455,49,1,737849,15065686,15077455,11769,14339606,11769,14327837,0,0
15115269,34,1,664555,14757961,15115269,357308,14450714,357308,14093406,0,0
15129172,40,1,737788,15029028,15129172,100144,14391384,100144,14291240,0,0
15221604,48,1,737844,15060118,15221604,161486,14483760,161486,14322274,0,0
15223323,53,1,737875,15221604,15223323,1719,14485448,1719,14483729,0,0
15241952,54,1,737884,15223323,15241952,18629,14504068,18629,14485439,0,0
15243592,55,1,737891,15241952,15243592,1640,14505701,1640,14504061,0,0
15254393,56,1,737896,15243592,15254393,10801,14516497,10801,14505696,0,0
15255431,57,1,737902,15254393,15255431,1038,14517529,1038,14516491,0,0
15256461,58,1,737907,15255431,15256461,1030,14518554,1030,14517524,0,0
15257775,43,1,737808,15029028,15257775,228747,14519967,228747,14291220,0,0
15262772,52,1,737868,15129172,15262772,133600,14524904,133600,14391304,0,0
15328432,51,1,737861,15115269,15328432,213163,14590571,213163,14377408,0,0
15370109,50,1,737855,15077455,15370109,292654,14632254,292654,14339600,0,0
15371109,62,1,737934,15328432,15371109,42677,14633175,42677,14590498,0,0
15372981,64,1,737946,15371109,15372981,1872,14635035,1872,14633163,0,0
15385002,63,1,737941,15370109,15385002,14893,14647061,14893,14632168,0,0
15386337,66,1,737957,15385002,15386337,1335,14648380,1335,14647045,0,0
15391417,60,1,737918,15257775,15391417,133642,14653499,133642,14519857,0,0
15411841,65,1,737952,15372981,15411841,38860,14673889,38860,14635029,0,0
15413519,46,1,737830,15054831,15413519,358688,14675689,358688,14317001,0,0
15415315,68,1,737967,15391417,15415315,23898,14677348,23898,14653450,0,0
15422627,30,4,573378,14757961,15422627,664666,14849249,664666,14184583,0,0
15422857,71,1,737989,15415315,15422857,7542,14684868,7542,14677326,0,0
15423080,70,1,737984,15413519,15423080,9561,14685096,9561,14675535,0,0
15428814,72,1,737996,15422627,15428814,6187,14690818,6187,14684631,0,0
15430649,74,1,738019,15422627,15430649,8022,14692630,8022,14684608,0,0
15438672,76,1,738038,15422857,15438672,15815,14700634,15815,14684819,0,0
15446893,59,1,737912,15256461,15446893,190432,14708981,190432,14518549,0,0
15449948,79,1,738082,15430649,15449948,19299,14711866,19299,14692567,0,0
15454036,73,1,738002,15422627,15454036,31409,14716034,31409,14684625,0,0
15472520,83,1,738129,15454036,15472520,18484,14734391,18484,14715907,0,0
15503948,78,1,738069,15428814,15503948,75134,14765879,75134,14690745,0,0
15504162,82,1,738116,15449948,15504162,54214,14766046,54214,14711832,0,0
15505096,86,1,738163,15504162,15505096,934,14766933,934,14765999,0,0
15512635,77,1,738049,15423080,15512635,89555,14774586,89555,14685031,0,0
15519478,85,1,738153,15503948,15519478,15530,14781325,15530,14765795,0,0
15531493,44,1,737814,15029791,15531493,501702,14793679,501702,14291977,0,0
15536655,67,1,737962,15386337,15536655,150318,14798693,150318,14648375,0,0
15546374,89,1,738201,15519478,15546374,26896,14808173,26896,14781277,0,0
15554161,87,1,738170,15505096,15554161,49065,14815991,49065,14766926,0,0
15622107,35,1,674938,14757961,15622107,864146,14947169,864146,14083023,0,0
15629137,75,1,738025,15422627,15629137,206510,14891112,206510,14684602,0,0
15653426,80,1,738097,15438672,15653426,214754,14915329,214754,14700575,0,0
15662799,69,1,737973,15411841,15662799,250958,14924826,250958,14673868,0,0
15664348,84,1,738137,15472520,15664348,191828,14926211,191828,14734383,0,0
15685544,81,1,738103,15446893,15685544,238651,14947441,238651,14708790,0,0
15689748,90,1,738211,15531493,15689748,158255,14951537,158255,14793282,0,0
15689890,88,1,738194,15512635,15689890,177255,14951696,177255,14774441,0,0
15699965,61,1,737924,15262772,15699965,437193,14962041,437193,14524848,0,0
16865031,92,4,766066,15689890,16865031,1175141,16098965,1175141,14923824,0,0
19677929,37,4,686742,15029028,19677929,4648901,18991187,4648901,14342286,0,0
19730725,91,4,766066,15664348,19730725,4066377,18964659,4066377,14898282,0,0
21043245,28,8,401681,12435772,21043245,8607473,20641564,8607473,12034091,0,0
22661958,97,4,766093,21043245,22661958,1618713,21895865,1618713,20277152,0,0
24204362,19,8,395522,6720840,24204362,17483522,23808840,17483522,6325318,0,0
24257079,27,8,401530,12435772,24257079,11821307,23855549,11821307,12034242,0,0
24841920,96,4,766078,19730725,24841920,5111195,24075842,5111195,18964647,0,0
25051102,36,4,686170,15029028,25051102,10022074,24364932,10022074,14342858,0,0
25141085,93,4,766066,15699965,25141085,9441120,24375019,9441120,14933899,0,0
26481098,101,4,781010,24204362,26481098,2276736,25700088,2276736,23423352,0,0
26626920,94,4,766068,16865031,26626920,9761889,25860852,9761889,16098963,0,0
27081577,104,4,784410,24841920,27081577,2239657,26297167,2239657,24057510,0,0
27254281,100,4,780879,24204362,27254281,3049919,26473402,3049919,23423483,0,0
28110025,29,4,504171,14757961,28110025,13352064,27605854,13352064,14253790,0,0
28308507,111,4,820970,28110025,28308507,198482,27487537,198482,27289055,0,0
30311895,112,4,821081,28308507,30311895,2003388,29490814,2003388,27487426,0,0
31866642,98,4,766112,21043245,31866642,10823397,31100530,10823397,20277133,0,0
32241069,102,4,782660,24257079,32241069,7983990,31458409,7983990,23474419,0,0
32401653,114,8,854174,32241069,32401653,160584,31547479,160584,31386895,0,0
32508920,106,4,817942,25141085,32508920,7367835,31690978,7367835,24323143,0,0
