time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
931258,21,4,912416,912416,931258,18842,18842,18842,0,0,0
931389,24,16,926450,926450,931389,4939,4939,4939,0,0,0
975592,25,16,926459,930392,975592,45200,49133,45200,3933,0,0
985990,41,1,982125,982125,985990,3865,3865,3865,0,0,0
1000104,39,4,963028,963028,1000104,37076,37076,37076,0,0,0
1002141,47,1,993353,993353,1002141,8788,8788,8788,0,0,0
1005484,53,1,1003841,1003841,1005484,1643,1643,1643,0,0,0
1008092,42,4,989813,990126,1008092,17966,18279,17966,313,0,0
1009393,58,1,1007947,1007947,1009393,1446,1446,1446,0,0,0
1012535,57,1,1006297,1006297,1012535,6238,6238,6238,0,0,0
1014256,55,8,1004200,1008092,1014256,6164,10056,6164,3892,0,0
1022592,49,4,999486,999520,1022592,23072,23106,23072,34,0,0
1025289,64,4,1023510,1023510,1025289,1779,1779,1779,0,0,0
1039575,18,1,906242,906242,1039575,133333,133333,133333,0,0,0
1044629,63,1,1022908,1022908,1044629,21721,21721,21721,0,0,0
1051316,32,8,946857,946857,1051316,104459,104459,104459,0,0,0
1057540,22,4,912464,912464,1057540,145076,145076,145076,0,0,0
1065511,73,8,1033426,1041491,1065511,24020,32085,24020,8065,0,0
1086977,86,1,1078349,1078349,1086977,8628,8628,8628,0,0,0
1088798,30,8,931720,931720,1088798,157078,157078,157078,0,0,0
1114631,91,1,1083560,1083560,1114631,31071,31071,31071,0,0,0
1116292,1,8,336541,336541,1116292,779751,779751,779751,0,0,0
1129450,17,1,906050,906050,1129450,223400,223400,223400,0,0,0
1139216,122,8,1115754,1116292,1139216,22924,23462,22924,538,0,0
1142859,83,4,1068634,1078349,1142859,64510,74225,64510,9715,0,0
1150477,54,1,1004148,1004148,1150477,146329,146329,146329,0,0,0
1156171,126,4,1149652,1149652,1156171,6519,6519,6519,0,0,0
1174016,130,1,1158164,1158164,1174016,15852,15852,15852,0,0,0
1174693,131,1,1158343,1158343,1174693,16350,16350,16350,0,0,0
1183981,141,4,1163262,1165251,1183981,18730,20719,18730,1989,0,0
1183985,95,1,1093901,1093901,1183985,90084,90084,90084,0,0,0
1185991,111,1,1099017,1099017,1185991,86974,86974,86974,0,0,0
1193173,124,4,1119028,1139216,1193173,53957,74145,53957,20188,0,0
1203924,76,1,1058834,1058834,1203924,145090,145090,145090,0,0,0
1206025,70,4,1028741,1028741,1206025,177284,177284,177284,0,0,0
1208064,71,4,1029550,1030698,1208064,177366,178514,177366,1148,0,0
1209590,43,4,990126,990126,1209590,219464,219464,219464,0,0,0
1223683,66,8,1024189,1051316,1223683,172367,199494,172367,27127,0,0
1224475,116,8,1105595,1165414,1224475,59061,118880,59061,59819,0,0
1226214,151,1,1165398,1165398,1226214,60816,60816,60816,0,0,0
1236344,114,8,1099265,1165414,1236344,70930,137079,70930,66149,0,0
1237023,170,4,1194187,1206025,1237023,30998,42836,30998,11838,0,0
1237035,177,1,1234963,1234963,1237035,2072,2072,2072,0,0,0
1248859,171,4,1194668,1208064,1248859,40795,54191,40795,13396,0,0
1250682,140,1,1161628,1161628,1250682,89054,89054,89054,0,0,0
1252001,20,4,912363,912363,1252001,339638,339638,339638,0,0,0
1259800,181,4,1241695,1245265,1259800,14535,18105,14535,3570,0,0
1267059,89,1,1078558,1078558,1267059,188501,188501,188501,0,0,0
1268369,195,4,1251897,1252001,1268369,16368,16472,16368,104,0,0
1270720,159,1,1165542,1165542,1270720,105178,105178,105178,0,0,0
