time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,preemption_overhead,promote
10026,1,1,6,6,10026,10020,10020,10000,0,0,0,0
27854,2,1,6,6,27854,27848,27848,27788,0,0,0,0
47492,4,1,10,10,47492,47482,47482,47442,0,0,0,0
51012,24,1,44506,44506,51012,6506,6506,6426,0,0,0,0
71748,8,1,17,17,71748,71731,71731,71711,0,0,0,0
88063,18,1,44488,44488,88063,43575,43575,43515,0,0,0,0
95161,0,1,0,0,95161,95161,95161,95121,0,0,0,0
96525,7,1,14,14,96525,96511,96511,96431,0,0,0,0
138619,11,1,22,22,138619,138597,138597,138497,0,0,0,0
164480,13,1,26,26,164480,164454,164454,164354,0,0,0,0
205886,27,1,44508,44508,205886,161378,161378,161278,0,0,0,0
214611,9,1,18,18,214611,214593,214593,214573,0,0,0,0
227518,32,1,225010,225010,227518,2508,2508,2488,0,0,0,0
233279,30,1,224999,224999,233279,8280,8280,8160,0,0,0,0
249977,22,1,44500,44500,249977,205477,205477,205417,0,0,0,0
283042,15,1,30,30,283042,283012,283012,282992,0,0,0,0
329619,33,1,225012,225012,329619,104607,104607,104567,0,0,0,0
365916,41,4,291313,291313,365916,74603,74603,74483,0,0,0,0
398504,28,1,224994,224994,398504,173510,173510,173390,0,0,0,0
399106,25,1,44507,44507,399106,354599,354599,354579,0,0,0,0
399437,21,1,44498,44498,399437,354939,354939,354879,0,0,0,0
603166,53,4,510191,510191,603166,92975,92975,92915,0,0,0,0
621501,38,4,291295,291295,621501,330206,330206,330086,0,0,0,0
687598,58,4,632338,632338,687598,55260,55260,55260,0,0,0,0
696956,57,4,632336,632336,696956,64620,64620,64520,0,0,0,0
712520,55,4,632320,632320,712520,80200,80200,80100,0,0,0,0
864122,63,2,719754,719754,864122,144368,144368,144288,0,0,0,0
867205,86,4,810604,810604,867205,56601,56601,56461,0,0,0,0
970540,16,1,44477,44477,970540,926063,926063,926043,0,0,0,0
984756,117,2,961023,961023,984756,23733,23733,23673,0,0,0,0
991721,174,2,961222,961222,991721,30499,30499,30389,0,0,0,0
999469,124,2,961048,961048,999469,38421,38421,38311,0,0,0,0
1002559,151,2,961143,961143,1002559,41416,41416,41336,0,0,0,0
1006409,195,2,961295,961295,1006409,45114,45114,44984,0,0,0,0
1012366,181,2,961246,961246,1012366,51120,51120,51020,0,0,0,0
1013544,47,4,343925,343925,1013544,669619,669619,669539,0,0,0,0
1015361,177,2,961233,961233,1015361,54128,54128,54078,0,0,0,0
1016984,126,2,961055,961055,1016984,55929,55929,55829,0,0,0,0
1018821,202,2,961318,961318,1018821,57503,57503,57433,0,0,0,0
1019166,170,2,961208,961208,1019166,57958,57958,57838,0,0,0,0
1022230,199,2,961308,961312,1022230,60918,60922,60778,4,0,0,0
1027100,64,2,719767,719767,1027100,307333,307333,307293,0,0,0,0
1030894,122,2,961041,961041,1030894,69853,69853,69713,0,0,0,0
1033307,212,2,961361,961361,1033307,71946,71946,71896,0,0,0,0
1044254,141,2,961106,961106,1044254,83148,83148,83048,0,0,0,0
1048858,62,2,719748,719748,1048858,329110,329110,329010,0,0,0,0
1049921,65,2,719816,719816,1049921,330105,330105,330045,0,0,0,0
1065104,66,2,719849,719849,1065104,345255,345255,345135,0,0,0,0
1066353,133,2,961078,961078,1066353,105275,105275,105235,0,0,0,0
1073037,156,2,961160,961160,1073037,111877,111877,111787,0,0,0,0
1084638,159,2,961171,961171,1084638,123467,123467,123337,0,0,0,0
1090979,111,2,961001,961001,1090979,129978,129978,129898,0,0,0,0
1103578,23,1,44500,44500,1103578,1059078,1059078,1058998,0,0,0,0
1104721,3,1,6,6,1104721,1104715,1104715,1104675,0,0,0,0
1121521,142,2,961109,961109,1121521,160412,160412,160362,0,0,0,0
1140868,34,1,225015,225015,1140868,915853,915853,915833,0,0,0,0
