time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
3250,0,0,0,0,0,0,1,0
7200,0,0,0,0,0,0,1,0
219316,0,0,0,0,0,0,2,0
220129,0,0,0,0,0,0,2,0
221726,0,0,0,0,0,0,2,0
251674,0,0,0,0,0,0,3,0
251699,0,0,0,0,0,0,4,0
254924,0,0,0,0,0,0,4,0
254949,0,0,0,0,0,0,4,0
256418,0,0,0,0,0,0,5,0
256458,0,0,0,0,0,0,6,0
256459,0,0,0,0,0,0,7,0
258863,0,0,0,0,0,0,8,0
258874,0,0,0,0,0,0,8,0
258886,0,0,0,0,0,0,9,0
258888,0,0,0,0,0,0,10,0
258899,0,0,0,0,0,0,10,0
259585,0,0,0,0,0,0,11,0
259600,0,0,0,0,0,0,12,0
259609,0,0,0,0,0,0,13,0
259668,0,0,0,0,0,0,13,0
259708,0,0,0,0,0,0,13,0
259709,0,0,0,0,0,0,13,0
262113,0,0,0,0,0,0,13,0
262136,0,0,0,0,0,0,13,0
262138,0,0,0,0,0,0,13,0
262503,0,0,0,0,0,0,14,0
262517,0,0,0,0,0,0,15,0
262523,0,0,0,0,0,0,16,0
262835,0,0,0,0,0,0,16,0
262850,0,0,0,0,0,0,16,0
262859,0,0,0,0,0,0,16,0
263618,0,0,0,0,0,0,16,0
263658,0,0,0,0,0,0,16,0
263659,0,0,0,0,0,0,16,0
265753,0,0,0,0,0,0,16,0
265767,0,0,0,0,0,0,16,0
265773,0,0,0,0,0,0,16,0
266063,0,0,0,0,0,0,16,0
266086,0,0,0,0,0,0,16,0
266088,0,0,0,0,0,0,16,0
266785,0,0,0,0,0,0,16,0
266800,0,0,0,0,0,0,16,0
266809,0,0,0,0,0,0,16,0
268877,0,0,0,0,0,0,17,0
269690,0,0,0,0,0,0,17,0
269703,0,0,0,0,0,0,17,0
269717,0,0,0,0,0,0,17,0
269723,0,0,0,0,0,0,17,0
271312,0,0,0,0,0,0,17,0
273432,0,0,0,0,0,0,18,0
274245,0,0,0,0,0,0,18,0
274530,0,0,0,0,0,0,19,0
275343,0,0,0,0,0,0,19,0
276110,0,0,0,0,0,0,20,0
276923,0,0,0,0,0,0,20,0
278520,0,0,0,0,0,0,20,0
287957,0,0,0,0,0,0,19,1
291767,0,0,0,0,0,0,18,2
308826,0,0,0,0,0,0,19,2
309095,0,0,0,0,0,0,20,2
310067,0,0,0,0,0,0,21,2
310087,0,0,0,0,0,0,22,2
312076,0,0,0,0,0,0,22,2
312345,0,0,0,0,0,0,22,2
