time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
951825,4,1,867308,867308,951825,84517,84517,84517,0,0,0
1012459,1,1,529666,529666,1012459,482793,482793,482793,0,0,0
1090042,9,1,979018,979018,1090042,111024,111024,111024,0,0,0
1093417,24,1,1089783,1089783,1093417,3634,3634,3634,0,0,0
1102503,30,1,1101566,1101566,1102503,937,937,937,0,0,0
1106380,18,1,1073402,1073402,1106380,32978,32978,32978,0,0,0
1122247,19,1,1073545,1073545,1122247,48702,48702,48702,0,0,0
1143713,17,1,1072689,1072689,1143713,71024,71024,71024,0,0,0
1155168,32,1,1106397,1106397,1155168,48771,48771,48771,0,0,0
1167564,33,1,1107097,1107097,1167564,60467,60467,60467,0,0,0
1169200,37,1,1114931,1114931,1169200,54269,54269,54269,0,0,0
1176523,15,1,1050596,1050596,1176523,125927,125927,125927,0,0,0
1197382,53,4,1187568,1187568,1197382,9814,9814,9814,0,0,0
1210124,49,1,1180328,1180328,1210124,29796,29796,29796,0,0,0
1210607,47,4,1153440,1153440,1210607,57167,57167,57167,0,0,0
1219322,13,4,1031456,1031456,1219322,187866,187866,187866,0,0,0
1220162,42,1,1144498,1144498,1220162,75664,75664,75664,0,0,0
1220533,22,1,1084436,1084436,1220533,136097,136097,136097,0,0,0
1222928,21,4,1077213,1077213,1222928,145715,145715,145715,0,0,0
1269632,16,4,1058360,1058360,1269632,211272,211272,211272,0,0,0
1293633,57,1,1248834,1248834,1293633,44799,44799,44799,0,0,0
1313632,45,4,1152314,1152314,1313632,161318,161318,161318,0,0,0
1320398,55,1,1199703,1199703,1320398,120695,120695,120695,0,0,0
1330539,6,8,952842,952842,1330539,377697,377697,377697,0,0,0
1332717,28,4,1096370,1096370,1332717,236347,236347,236347,0,0,0
1363579,66,1,1361760,1361760,1363579,1819,1819,1819,0,0,0
1372687,62,8,1310461,1310461,1372687,62226,62226,62226,0,0,0
1373935,39,4,1120762,1120762,1373935,253173,253173,253173,0,0,0
1384583,40,1,1136572,1136572,1384583,248011,248011,248011,0,0,0
1394538,58,1,1249748,1249748,1394538,144790,144790,144790,0,0,0
1432330,41,1,1142769,1142769,1432330,289561,289561,289561,0,0,0
1438597,31,4,1103252,1103252,1438597,335345,335345,335345,0,0,0
1472845,72,1,1435450,1435450,1472845,37395,37395,37395,0,0,0
1505214,74,1,1478556,1478556,1505214,26658,26658,26658,0,0,0
1523659,70,4,1393054,1393054,1523659,130605,130605,130605,0,0,0
1541506,25,1,1089969,1089969,1541506,451537,451537,451537,0,0,0
1547764,12,1,989042,989042,1547764,558722,558722,558722,0,0,0
1595045,69,1,1390061,1390061,1595045,204984,204984,204984,0,0,0
1634450,48,1,1180064,1180064,1634450,454386,454386,454386,0,0,0
1706239,56,8,1204081,1204081,1706239,502158,502158,502158,0,0,0
1868887,64,8,1327382,1327382,1868887,541505,541505,541505,0,0,0
1933011,50,1,1180378,1180378,1933011,752633,752633,752633,0,0,0
1935090,54,1,1195879,1195879,1935090,739211,739211,739211,0,0,0
1940791,43,1,1144978,1144978,1940791,795813,795813,795813,0,0,0
1975599,52,4,1187489,1187489,1975599,788110,788110,788110,0,0,0
2040234,73,4,1443247,1443247,2040234,596987,596987,596987,0,0,0
2090721,2,1,544653,544653,2090721,1546068,1546068,1546068,0,0,0
2200700,8,1,958289,958289,2200700,1242411,1242411,1242411,0,0,0
2213842,20,4,1075378,1075378,2213842,1138464,1138464,1138464,0,0,0
2295786,86,8,2263787,2263787,2295786,31999,31999,31999,0,0,0
2352778,7,8,958154,958154,2352778,1394624,1394624,1394624,0,0,0
2364788,44,1,1145961,1145961,2364788,1218827,1218827,1218827,0,0,0
2400683,78,4,2179629,2179629,2400683,221054,221054,221054,0,0,0
2404019,51,4,1186735,1186735,2404019,1217284,1217284,1217284,0,0,0
2408636,65,1,1340977,1340977,2408636,1067659,1067659,1067659,0,0,0
2418633,97,1,2400817,2400817,2418633,17816,17816,17816,0,0,0
2443299,92,1,2356419,2356419,2443299,86880,86880,86880,0,0,0
2455391,101,4,2420412,2420412,2455391,34979,34979,34979,0,0,0
2506690,102,2,2420436,2420436,2506690,86254,86254,86254,0,0,0
2521203,116,1,2518484,2518484,2521203,2719,2719,2719,0,0,0
2530215,95,1,2384044,2384044,2530215,146171,146171,146171,0,0,0
2534591,117,4,2524337,2525150,2534591,9441,10254,9441,813,0,0
2535412,122,8,2528603,2534591,2535412,821,6809,821,5988,0,0
2540506,111,1,2458013,2458013,2540506,82493,82493,82493,0,0,0
2542692,124,1,2540332,2540332,2542692,2360,2360,2360,0,0,0
2549665,108,1,2448390,2448390,2549665,101275,101275,101275,0,0,0
2564879,89,8,2325554,2325554,2564879,239325,239325,239325,0,0,0
2570987,96,4,2386254,2386254,2570987,184733,184733,184733,0,0,0
2571702,67,4,1365241,1365241,2571702,1206461,1206461,1206461,0,0,0
2617889,126,8,2547588,2570987,2617889,46902,70301,46902,23399,0,0
2622472,120,8,2526918,2535412,2622472,87060,95554,87060,8494,0,0
2644741,125,4,2545394,2564879,2644741,79862,99347,79862,19485,0,0
2649460,68,1,1379884,1379884,2649460,1269576,1269576,1269576,0,0,0
2653275,98,1,2401669,2401669,2653275,251606,251606,251606,0,0,0
2686129,90,8,2345868,2345868,2686129,340261,340261,340261,0,0,0
2695570,112,1,2460171,2460171,2695570,235399,235399,235399,0,0,0
2697733,137,1,2691652,2691652,2697733,6081,6081,6081,0,0,0
2721491,140,4,2705214,2719417,2721491,2074,16277,2074,14203,0,0
2721871,141,4,2705640,2719417,2721871,2454,16231,2454,13777,0,0
2722617,128,8,2673547,2673547,2722617,49070,49070,49070,0,0,0
