time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
1456,0,0,0,0,0,0,2,0
352430,0,0,0,0,0,0,3,0
352712,0,0,0,0,0,0,4,0
512614,0,0,0,0,0,0,5,0
517969,0,0,0,0,0,0,6,0
524706,0,0,0,0,0,0,5,1
533527,0,0,0,0,0,0,6,1
542432,0,0,0,0,0,0,7,1
559303,0,0,0,0,0,0,6,2
566163,0,0,0,0,0,0,5,3
589714,0,0,0,0,0,0,6,3
597706,0,0,0,0,0,0,5,4
665621,0,0,0,0,0,0,6,4
665969,0,0,0,0,0,0,7,4
672805,0,0,0,0,0,0,8,4
672911,0,0,0,0,0,0,9,4
672933,0,0,0,0,0,0,10,4
672959,0,0,0,0,0,0,11,4
680146,0,0,0,0,0,0,12,4
680163,0,0,0,0,0,0,13,4
700895,0,0,0,0,0,0,12,5
710452,0,0,0,0,0,0,11,6
711640,0,0,0,0,0,0,10,7
773814,0,0,0,0,0,0,11,7
872119,0,0,0,0,0,0,10,8
895207,0,0,0,0,0,0,11,8
929584,0,0,0,0,0,0,12,8
937052,0,0,0,0,0,0,13,8
937075,0,0,0,0,0,1,13,8
937097,0,0,0,0,0,2,13,8
943298,0,0,0,0,0,1,14,8
972336,0,0,0,0,0,1,15,8
972341,0,0,0,0,0,1,15,8
972381,0,0,0,0,0,1,15,8
972384,0,0,0,0,0,1,15,8
972388,0,0,0,0,0,1,15,8
1017657,0,0,0,0,0,1,15,9
1088393,0,0,0,0,0,1,15,10
1108976,0,0,0,0,0,0,15,11
1121086,0,0,0,0,0,0,15,12
1122388,0,0,0,0,0,0,14,13
1172065,0,0,0,0,0,0,14,14
1198143,0,0,0,0,0,0,14,14
1198165,0,0,0,0,0,0,14,14
1198187,0,0,0,0,0,0,14,14
1198208,0,0,0,0,0,0,14,14
1198246,0,0,0,0,0,0,14,14
1202315,0,0,0,0,0,1,14,14
1202338,0,0,0,0,0,2,14,14
1202360,0,0,0,0,0,3,14,14
1205035,0,0,0,0,0,3,14,14
1207098,0,0,0,0,0,3,14,14
1209098,0,0,0,0,0,3,14,14
1209494,0,0,0,0,0,3,14,15
1211878,0,0,0,0,0,3,14,16
1212768,0,0,0,0,0,3,14,16
1217530,0,0,0,0,0,3,14,17
1222021,0,0,0,0,0,3,15,17
1224367,0,0,0,0,0,3,15,18
1233895,0,0,0,0,0,3,14,19
1273988,0,0,0,0,0,4,14,19
1274009,0,0,0,0,0,5,14,19
1274032,0,0,0,0,0,6,14,19
1274054,0,0,0,0,0,7,14,19
1274076,0,0,0,0,0,8,14,19
1277529,0,0,0,0,0,8,14,20
1288816,0,0,0,0,0,8,14,20
1294832,0,0,0,0,0,8,14,21
1300065,0,0,0,0,0,8,14,21
1300853,0,0,0,0,0,8,14,21
1301124,0,0,0,0,0,8,14,22
1308960,0,0,0,0,0,8,14,23
1315692,0,0,0,0,0,8,14,23
1316099,0,0,0,0,0,8,14,23
1334260,0,0,0,0,0,8,14,24
1361647,0,0,0,0,0,8,14,24
1362087,0,0,0,0,0,8,14,24
1362931,0,0,0,0,0,8,14,25
1363741,0,0,0,0,0,8,14,25
1366817,0,0,0,0,0,8,14,25
1367580,0,0,0,0,0,8,14,26
1368544,0,0,0,0,0,7,14,27
1371382,0,0,0,0,0,7,14,28
1379050,0,0,0,0,0,8,14,28
1379074,0,0,0,0,0,9,14,28
1379426,0,0,0,0,0,9,14,29
1379974,0,0,0,0,0,9,14,29
1382142,0,0,0,0,0,9,14,29
1382774,0,0,0,0,0,9,14,30
1383820,0,0,0,0,0,9,14,30
1383824,0,0,0,0,0,10,14,30
1385826,0,0,0,0,0,10,14,30
1387257,0,0,0,0,0,11,14,30
1396822,0,0,0,0,0,11,14,31
1408253,0,0,0,0,0,11,14,31
1432724,0,0,0,0,0,11,14,32
1435521,0,0,0,0,0,11,14,32
1437296,0,0,0,0,0,11,14,33
1441858,0,0,0,0,0,11,14,33
1441922,0,0,0,0,0,11,14,33
1447269,0,0,0,0,0,11,14,33
1448138,0,0,0,0,0,12,14,33
1453262,0,0,0,0,0,11,13,33
1455344,0,0,0,0,0,11,14,34
1457822,0,0,0,0,0,11,13,34
1461874,0,0,0,0,0,11,13,34
1463016,0,0,0,0,0,12,13,34
1463038,0,0,0,0,0,12,13,34
1463152,0,0,0,0,0,13,13,34
1463193,0,0,0,0,0,14,13,34
1463214,0,0,0,0,0,15,13,34
1466073,0,0,0,0,0,16,13,34
1466095,0,0,0,0,0,17,13,34
1468415,0,0,0,0,0,17,13,35
1470164,0,0,0,0,0,17,13,36
1478845,0,0,0,0,0,16,13,37
1479908,0,0,0,0,0,16,14,38
1488829,0,0,0,0,0,17,14,38
1491324,0,0,0,0,0,18,14,38
1499394,0,0,0,0,0,18,13,38
1517459,0,0,0,0,0,18,14,39
1529623,0,0,0,0,0,18,13,39
1533742,0,0,0,0,0,19,13,39
1536518,0,0,0,0,0,19,13,39
1540778,0,0,0,0,0,19,13,40
1545400,0,0,0,0,0,19,13,40
1546505,0,0,0,0,0,20,13,40
1546669,0,0,0,0,0,20,13,41
1548807,0,0,0,0,0,21,13,41
1548830,0,0,0,0,0,22,13,41
1548833,0,0,0,0,0,23,13,41
1548860,0,0,0,0,0,23,13,41
1548882,0,0,0,0,0,23,13,41
1548919,0,0,0,0,0,24,13,41
1548940,0,0,0,0,0,25,13,41
1548982,0,0,0,0,0,26,13,41
1549002,0,0,0,0,0,27,13,41
1549769,0,0,0,0,0,28,13,41
1552485,0,0,0,0,0,28,13,42
1562119,0,0,0,0,0,27,13,43
