time,max,99th,95th,med
0,7,7,7,7
364815,12,12,12,12
2683745,17,17,17,17
2694873,12,12,12,12
2720160,17,17,17,17
2721135,22,22,22,22
2721260,22,7,7,22
2734360,22,12,12,22
2741823,22,17,17,22
2744057,22,22,22,22
2745228,22,22,22,22
2747192,22,22,22,22
2748086,22,22,22,22
2749648,22,22,22,22
2752262,22,22,22,22
2753344,22,22,22,22
2757056,22,22,22,22
2760250,22,22,22,22
2760784,22,22,22,22
2762476,22,22,22,22
2763501,22,22,22,22
2764479,22,22,22,22
2765413,22,22,22,22
2767806,22,22,22,22
2767880,22,22,22,22
2790358,22,22,22,22
2790390,22,22,22,22
2790973,22,22,22,22
2791070,22,22,22,22
2791130,22,22,22,22
2791609,22,22,22,22
2792685,22,22,22,22
2796002,22,22,22,22
2796319,22,22,22,22
2798142,22,22,22,22
2805659,22,22,22,22
2808562,22,22,22,22
2808684,22,22,22,22
2811390,22,22,22,22
2811411,22,22,22,22
2812465,22,22,22,22
2813331,22,22,22,22
2813338,22,22,22,22
2813432,22,22,22,22
2828101,22,22,22,22
2828928,22,22,22,22
2829921,22,22,22,22
2831625,22,22,22,22
2831922,22,22,22,22
2832156,22,22,22,22
2833286,22,22,22,22
2836968,22,22,22,22
2846391,22,22,22,22
2854344,22,22,22,22
2854579,22,22,22,22
2861131,22,22,22,22
2870395,22,22,22,22
2879720,22,22,22,22
2879912,22,22,22,22
2883929,22,22,22,22
2896036,22,22,22,22
2896948,22,22,22,22
2897477,22,22,22,22
2897735,22,22,22,22
2900292,22,22,22,22
2902852,22,22,22,22
2903531,22,22,22,22
2903769,22,22,22,22
2913454,22,22,22,22
2916803,22,22,22,22
2920577,22,22,22,22
2922165,22,22,22,22
2922193,22,22,22,22
2925767,22,22,22,22
2926842,22,22,22,22
2927423,22,22,22,22
2946229,22,22,22,22
2958513,22,22,22,22
2989982,22,22,22,22
2990135,22,22,22,22
3007313,22,22,22,22
3008428,22,22,22,22
3013560,22,22,22,22
3017296,22,22,22,22
3017499,22,22,22,22
3020827,22,22,22,22
3026355,22,22,22,22
3028433,22,22,22,22
3036830,22,22,22,22
3042638,22,22,22,22
3046787,22,22,22,22
3059640,22,22,22,22
3071645,22,22,22,22
3073901,22,22,22,22
3073998,22,22,22,22
3075230,22,22,22,22
3077863,22,22,22,22
3083799,22,22,22,22
3095414,22,22,22,22
3098633,22,22,22,22
3102363,22,22,22,22
3112753,22,22,22,22
3115962,22,22,22,22
3117750,22,22,22,22
3121750,22,22,22,22
3134083,22,22,22,22
3134817,22,22,22,22
3141340,22,22,22,22
3157338,22,22,22,22
3166208,22,22,22,22
3166210,22,22,22,22
3166393,22,22,22,22
3166396,22,22,22,22
