job_id,model_name,duration,submit_time,num_gpu,,
0,b,6959399,0,8,,a
1,e,482793,529666,1,,b
2,b,1546068,544653,1,,c
3,a,15691694,863276,1,,d
4,d,84517,867308,1,,e
5,d,28780626,941115,1,,f
6,e,377697,952842,8,,
7,e,1394624,958154,8,,
8,f,1242411,958289,1,,
9,c,111024,979018,1,,
10,c,324509304,984210,8,,
11,b,12139698,986834,8,,
12,a,558722,989042,1,,
13,a,187866,1031456,4,,
14,f,20994430,1043900,1,,
15,b,125927,1050596,1,,
16,b,211272,1058360,4,,
17,c,71024,1072689,1,,
18,c,32978,1073402,1,,
19,f,48702,1073545,1,,
20,f,1138464,1075378,4,,
21,f,145715,1077213,4,,
22,d,136097,1084436,1,,
23,a,6500045,1085480,1,,
24,d,3634,1089783,1,,
25,f,451537,1089969,1,,
26,f,7785207,1094073,1,,
27,a,1771205,1095773,1,,
28,a,236347,1096370,4,,
29,d,2804441,1100086,1,,
30,a,937,1101566,1,,
31,d,335345,1103252,4,,
32,f,48771,1106397,1,,
33,c,60467,1107097,1,,
34,d,23084346,1107278,1,,
35,a,3236043,1112151,4,,
36,e,3731238,1113881,1,,
37,e,54269,1114931,1,,
38,b,1616273,1119434,8,,
39,a,253173,1120762,4,,
40,e,248011,1136572,1,,
41,d,289561,1142769,1,,
42,d,75664,1144498,1,,
43,c,795813,1144978,1,,
44,c,1218827,1145961,1,,
45,e,161318,1152314,4,,
46,d,2811873,1152599,4,,
47,a,57167,1153440,4,,
48,a,454386,1180064,1,,
49,c,29796,1180328,1,,
50,b,752633,1180378,1,,
51,d,1217284,1186735,4,,
52,d,788110,1187489,4,,
53,f,9814,1187568,4,,
54,f,739211,1195879,1,,
55,b,120695,1199703,1,,
56,f,502158,1204081,8,,
57,e,44799,1248834,1,,
58,e,144790,1249748,1,,
59,a,13748420,1299228,1,,
60,a,54722470,1300285,8,,
61,f,127562871,1307069,8,,
62,d,62226,1310461,8,,
63,d,4776922,1318317,8,,
64,f,541505,1327382,8,,
65,b,1067659,1340977,1,,
66,e,1819,1361760,1,,
67,c,1206461,1365241,4,,
68,d,1269576,1379884,1,,
69,e,204984,1390061,1,,
70,d,130605,1393054,4,,
71,a,3287314,1405309,1,,
72,d,37395,1435450,1,,
73,c,596987,1443247,4,,
74,b,26658,1478556,1,,
75,d,2834034,1484152,4,,
76,f,2269254,2070363,8,,
77,f,4326249,2071562,8,,
78,e,221054,2179629,4,,
79,b,644709,2185747,1,,
80,e,7369877,2185747,1,,
81,c,8385055,2186525,1,,
82,d,1995643,2188384,1,,
83,a,912876,2189933,4,,
84,e,3659966,2234906,8,,
85,f,5439658,2261332,8,,
86,c,31999,2263787,8,,
87,a,3916810,2276724,8,,
88,f,6872692,2306427,1,,
89,f,239325,2325554,8,,
90,c,340261,2345868,8,,
91,d,2783308,2349195,1,,
92,a,86880,2356419,1,,
93,e,1772125,2372380,1,,
94,f,5640864,2372471,1,,
95,f,146171,2384044,1,,
96,c,184733,2386254,4,,
97,a,17816,2400817,1,,
98,e,251606,2401669,1,,
99,b,1437711,2413831,4,,
100,d,1102072,2419308,8,,
101,c,34979,2420412,4,,
102,c,86254,2420436,2,,
103,e,668817,2421752,4,,
104,f,738402,2424054,1,,
105,e,604850,2429268,1,,
106,c,729203,2431841,4,,
107,c,297210,2433983,1,,
108,c,101275,2448390,1,,
109,f,2394263,2454375,4,,
110,c,1412466,2457849,1,,
111,d,82493,2458013,1,,
112,a,235399,2460171,1,,
113,a,15794948,2461677,1,,
114,a,704714,2483096,4,,
115,c,5537551,2505773,1,,
116,f,2719,2518484,1,,
117,e,9441,2524337,4,,
118,d,1755457,2525150,1,,
119,a,1762015,2525825,1,,
120,a,87060,2526918,8,,
121,b,4869597,2527787,1,,
122,c,821,2528603,8,,
123,f,391753,2530186,8,,
124,a,2360,2540332,1,,
125,d,79862,2545394,4,,
126,f,46902,2547588,8,,
127,e,30707678,2636166,8,,
128,f,49070,2673547,8,,
129,c,15266604,2673762,8,,
130,a,434681,2676098,8,,
131,c,1024718,2678504,1,,
132,b,28829,2686574,8,,
133,a,112419,2688754,1,,
134,b,103926,2688934,1,,
135,d,148153,2689764,8,,
136,a,17461331,2691194,8,,
137,a,6081,2691652,1,,
138,c,969274,2692445,1,,
139,b,459086,2704757,4,,
140,c,2074,2705214,4,,
141,e,2454,2705640,4,,
142,b,2543,2706041,4,,
143,a,43936,2719417,4,,
144,e,44443,2727066,1,,
145,c,10901318,2766420,8,,
146,c,439192,2767559,1,,
147,c,1776647,2767624,1,,
148,e,14927802,2781038,8,,
149,e,2657086,2849049,1,,
150,b,366002,2858573,8,,
151,e,10410,2867122,8,,
152,e,6048151,2878943,8,,
153,d,4149700,2935048,8,,
154,d,1939461,2935568,8,,
155,d,593565,2937251,8,,
156,a,4078,2938780,8,,
157,d,397651,2938781,8,,
158,d,220281,2938781,8,,
159,c,192122,2938781,8,,
160,e,711867,2946146,8,,
161,b,243333,2962850,8,,
162,f,563703,2963058,8,,
163,d,304833,2988749,1,,
164,a,1107380,2989676,8,,
165,c,142429,2990341,8,,
166,b,727412,2992093,1,,
167,e,830241,3003379,4,,
168,d,177287,3006478,4,,
169,f,35139668,3028591,2,,
170,e,7036,3031111,1,,
171,c,80292,3042765,1,,
172,e,2015882,3043709,4,,
173,c,2746848,3057806,4,,
174,d,89706,3076267,8,,
175,a,15069078,3076956,8,,
176,e,8975566,3078706,8,,
177,f,72286,3138319,1,,
178,f,312076,3306023,8,,
179,b,6857123,3306205,8,,
180,f,2583796,3308438,8,,
181,a,68489,3313283,8,,
182,d,13055,3377424,8,,
183,e,499579,3379086,8,,
184,a,16997212,3390807,8,,
185,f,7057776,3390865,8,,
186,c,462649,3393855,8,,
187,d,410578,3393887,8,,
188,a,1194826,3395133,8,,
189,d,4755410,3403020,8,,
190,f,87389,3450215,8,,
191,c,10984376,3452940,8,,
192,c,744488,3454389,8,,
193,b,15357,3454881,8,,
194,c,25540,3464951,8,,
195,e,9623,3467808,8,,
196,a,83078,3482714,8,,
197,c,352796,3483851,4,,
198,e,28749,3487676,12,,
199,e,980,3530979,12,,
200,e,437544,3538763,8,,
201,e,500713,3539995,4,,
202,d,1985,3553874,4,,
203,b,547638,3554098,4,,
204,f,267394,3558503,4,,
205,c,3647,3560875,4,,
206,c,53015541,3561243,8,,
207,a,66602,3562898,4,,
208,b,12872,3565592,8,,
209,f,102987382,3566468,8,,
210,f,3095075,3571221,4,,
211,e,566420,3622628,4,,
212,f,3161,3624665,4,,
213,f,26507068,3636960,8,,
214,d,40118,3637192,4,,
215,b,8014,3637318,8,,
216,e,31360,3642126,4,,
217,f,95421788,3642956,8,,
218,c,1386296,3644909,4,,
219,d,11106,3645097,12,,
220,a,5813052,3645357,8,,
221,d,105500,3647617,12,,
222,c,127086,3650858,12,,
223,a,914644,3652733,8,,
224,f,2818214,3654787,8,,
225,e,12470,3661863,12,,
226,a,1345713,3664223,24,,
227,f,5392499,3664224,16,,
228,a,10671,3664593,8,,
229,a,33531697,3667172,1,,
230,a,9831363,3726236,1,,
231,a,3019373,3747586,1,,
232,c,155616,3769582,1,,
233,a,378079,3824855,8,,
234,f,152201,3938112,1,,
235,b,21785,3953644,4,,
236,c,880344,3990074,1,,
237,b,206783,4003675,4,,
238,a,24854,4089918,1,,
239,d,894711,4089940,1,,
240,a,3766350,4146281,1,,
241,c,772381,4165841,24,,
242,d,61455928,4168770,1,,
243,b,12949,4228045,16,,
244,c,37314,4228905,2,,
245,f,337311,4234179,16,,
246,d,2031163,4238332,4,,
247,f,2659,4246072,16,,
248,f,157881,4247150,16,,
249,a,24524452,4255432,16,,
250,a,7650383,4308962,1,,
251,b,22377,4309819,1,,
252,d,429807,4327889,1,,
253,f,3499080,4337452,4,,
254,e,58946258,4432197,1,,
255,e,2787326,4443394,1,,
256,a,490,4514910,1,,
257,b,499441,4516507,1,,
