job_id,model_name,duration,submit_time,num_gpu,,
0,f,13407515,0,1,,a
1,f,2917194,364815,1,,b
2,e,11128,2683745,1,,c
3,a,4803268,2720160,1,,d
4,d,205707,2721135,1,,e
5,a,5083850,2721260,1,,f
6,f,7632500,2734360,1,,
7,d,112521,2741823,1,,
8,e,21356,2744057,1,,
9,b,15556,2745228,1,,
10,b,165559256,2747192,1,,
11,a,11352220,2748086,1,,
12,a,240487,2749648,1,,
13,e,76666,2752262,1,,
14,e,2075573,2753344,1,,
15,c,250257,2757056,1,,
16,c,185979,2760250,1,,
17,d,46086,2762476,1,,
18,c,4305,2763501,1,,
19,b,392859,2764479,1,,
20,d,249416,2767880,1,,
21,b,15301,2790358,1,,
22,f,7752,2790390,1,,
23,e,280672,2790973,1,,
24,c,1615,2791070,1,,
25,e,17554,2791130,1,,
26,e,1266882,2791609,1,,
27,d,65129,2796002,1,,
28,e,50072,2796319,1,,
29,b,43189,2811390,1,,
30,b,1054,2811411,1,,
31,c,29439862,2813331,1,,
32,b,289025,2813338,1,,
33,d,176550,2813432,1,,
34,b,944244,2828101,1,,
35,b,63231791,2829921,1,,
36,f,211013,2831625,4,,
37,c,414352,2831922,4,,
38,e,38239,2832156,1,,
39,e,62750,2833286,4,,
40,b,8712978,2836968,1,,
41,c,4209,2879720,1,,
42,c,194086,2879912,1,,
43,c,40516121,2896948,1,,
44,e,673839,2897477,1,,
45,e,123092,2897735,4,,
46,b,173609,2900292,1,,
47,d,962655,2902852,1,,
48,e,21294432,2903531,1,,
49,e,887075,2903769,1,,
50,a,164409,2913454,1,,
51,d,538902,2916803,1,,
52,c,6607772,2920577,4,,
53,f,36348,2922165,1,,
54,e,124594,2922193,1,,
55,b,1656,2925767,1,,
56,a,66802,3008428,1,,
57,d,14873,3013560,1,,
58,c,19331,3017499,1,,
59,d,3784994,3026355,1,,
60,e,705750,3059640,1,,
61,c,25091491,3083799,4,,
62,f,2319241,3095414,4,,
63,d,19117,3098633,1,,
64,b,8997,3112753,1,,
65,a,144875,3115962,1,,
66,d,734,3134083,1,,
67,f,1748391,3141340,1,,
68,f,25674,3166208,1,,
69,e,171346,3166210,1,,
70,b,13895,3166393,1,,
71,a,13114,3166396,1,,
72,b,12010,3166459,1,,
73,f,44065,3166462,1,,
74,e,13299,3167289,1,,
75,a,297188,3167291,1,,
76,b,1636183,3183978,1,,
77,a,1352967,3230742,1,,
78,b,112335,3247645,1,,
79,f,232426,3273293,1,,
80,f,5152663,3292366,1,,
81,c,1193424,3300707,1,,
82,c,946121,3300739,1,,
83,a,94736,3302115,1,,
84,a,7439434,3346852,4,,
85,a,185388,3346893,1,,
86,f,1026,3348300,1,,
87,f,207317,3348829,1,,
88,a,728236,3349967,1,,
89,f,90595,3350370,1,,
90,a,892645,3363924,1,,
91,e,77033,3363978,1,,
92,b,272686,3370120,1,,
93,b,236991,3372240,1,,
94,c,562963,3372303,1,,
95,e,1640377,3381405,1,,
96,c,92617,3389111,1,,
97,f,64415,3389175,1,,
98,b,394495,3396768,1,,
99,d,342448,3397456,1,,
100,f,37877,3406333,1,,
101,c,40704,3406561,1,,
102,e,95922,3413907,1,,
103,d,558794,3414325,1,,
104,d,41767,3416046,2,,
105,b,80259,3416213,2,,
106,e,120143,3416983,2,,
107,a,55118,3417551,2,,
108,c,124313,3422001,1,,
109,b,537959,3422407,1,,
110,a,83021,3426963,2,,
111,d,332370,3427040,2,,
112,d,1968542,3427798,2,,
113,b,1307903,3429668,2,,
114,e,33711019,3429696,2,,
115,b,15373585,3429876,2,,
116,e,286230,3436357,2,,
117,f,26683,3436744,2,,
118,c,10206318,3439764,2,,
119,d,857335,3441312,2,,
120,e,167277,3442090,1,,
121,b,81978,3442664,1,,
122,b,19003,3443310,2,,
123,c,4170789,3443464,2,,
124,c,11083,3445552,1,,
125,a,61105,3446103,1,,
126,d,4177,3449149,1,,
127,b,8204665,3450093,1,,
128,e,8449,3456768,1,,
129,c,1970346,3459423,1,,
130,b,290992,3479707,1,,
131,b,479837,3502173,4,,
132,a,25148,3506790,4,,
133,a,18268,3517974,8,,
134,d,1035178,3523499,1,,
135,f,104541,3528111,1,,
136,d,4269170,3529309,1,,
137,f,173220,3529815,1,,
138,f,69231,3539131,1,,
139,c,844304,3543319,1,,
140,f,1109,3545511,1,,
141,a,2780,3545533,8,,
142,c,8040,3547763,1,,
143,d,26077,3548681,1,,
144,b,225747,3549185,1,,
145,e,211570,3552609,1,,
146,d,72543,3554341,1,,
147,d,395703,3560536,1,,
148,c,55335,3567610,64,,
149,f,1345171,3569853,1,,
150,d,499048,3586426,1,,
151,a,405,3587531,1,,
152,b,94150,3597265,1,,
153,b,229463,3607177,1,,
154,d,260234,3610670,2,,
155,f,3705744,3610677,2,,
156,a,23271,3610691,2,,
157,c,120618,3610759,2,,
158,c,1284795,3611733,2,,
159,c,24073,3611733,2,,
160,c,38225,3614038,1,,
161,f,80725,3614111,1,,
162,a,10279,3615707,4,,
163,f,30578,3616172,4,,
164,d,76598,3616422,1,,
165,e,2668,3617635,4,,
166,d,469324,3633142,1,,
167,b,355999,3633232,1,,
168,f,38418,3633236,1,,
169,c,323711,3687230,1,,
170,b,687,3689380,1,,
171,d,16612,3696274,4,,
172,e,186821,3699935,1,,
173,e,5667339,3704480,4,,
174,d,590,3705629,4,,
175,e,1545208,3705955,1,,
176,c,3231832,3706250,4,,
177,d,938,3707633,4,,
178,f,592622,3765178,4,,
179,d,585601,3771178,8,,
180,f,7684848,3780198,4,,
181,e,82396,3785198,4,,
182,f,30198,3884798,1,,
183,d,224654,3884804,1,,
184,d,226788,3885345,1,,
185,d,90317,3885347,1,,
186,e,17434,3886807,1,,
187,e,169237,3886809,1,,
188,b,28713,3887805,1,,
189,b,92770,3887806,1,,
190,b,143192,3939120,1,,
191,f,94875,3939123,1,,
192,a,180922,3939135,1,,
193,f,22390,3939177,1,,
194,b,38710,3939184,1,,
195,e,1194,3939188,1,,
196,f,72659,3939281,1,,
197,a,371346,3939325,1,,
198,a,22906,3939376,1,,
199,e,1476,3939465,1,,
200,e,211755,3952310,8,,
201,b,86994,3960897,1,,
202,a,11116,3963512,1,,
203,c,139944,3965847,1,,
204,c,18126678,3971266,1,,
205,c,222093,3973338,1,,
206,c,6004213,3973362,1,,
207,e,723447,3985091,1,,
208,a,75851,4012236,2,,
209,f,6870182,4013691,1,,
210,c,7422,4017436,1,,
211,b,62767,4017442,1,,
212,f,1332,4017451,1,,
213,e,16660,4017537,1,,
214,b,12294,4017541,1,,
215,f,6648,4017551,1,,
216,e,22986,4017662,1,,
217,e,84625,4017666,1,,
218,e,184218,4017668,1,,
219,e,32372,4017675,1,,
220,c,81335,4017677,1,,
221,c,173331,4017680,1,,
222,d,40797,4017682,1,,
223,e,704,4017683,1,,
224,e,15974,4017686,1,,
225,c,13819,4017686,1,,
226,e,8108,4017691,1,,
227,b,12400,4017773,1,,
228,d,829,4017778,1,,
229,b,477971,4017799,1,,
230,f,203836,4017894,1,,
231,a,22725,4017899,1,,
232,c,737,4017901,1,,
233,e,1917,4017905,1,,
234,b,27569,4017910,1,,
235,b,783,4017922,1,,
236,d,79690,4017924,1,,
237,a,18906,4017934,1,,
238,c,598,4017960,1,,
239,f,67707,4017973,1,,
240,a,68246,4017974,1,,
241,a,15494,4017976,1,,
242,f,199987,4017976,1,,
243,c,3662,4017982,1,,
244,b,38495,4018138,1,,
245,e,56460,4018140,1,,
246,f,10151,4018142,1,,
247,c,1877,4018153,1,,
248,c,70644,4018159,1,,
249,d,99275,4018175,1,,
250,e,206730,4018179,1,,
251,c,1839,4018190,1,,
252,f,2275,4018227,1,,
253,d,95463,4018229,1,,
254,b,190382,4018232,1,,
255,e,16121,4018232,1,,
256,e,419,4018234,1,,
257,d,37458,4018235,1,,
