job_id,model_name,duration,submit_time,num_gpu,,
0,e,15486530,0,1,,a
1,a,779751,336541,8,,b
2,e,2206336,475911,1,,c
3,c,52322471,476285,8,,d
4,e,2042779,543390,8,,e
5,c,110577404,600049,8,,f
6,a,107500942,627951,8,,
7,b,7090786,671239,8,,
8,c,4639252,837589,8,,
9,f,5540214,837888,8,,
10,a,87572377,880076,1,,
11,d,5106406,880119,1,,
12,f,40594521,880145,1,,
13,a,5695853,880165,1,,
14,f,36872754,881304,1,,
15,a,651007,884079,4,,
16,d,5515923,896743,8,,
17,d,223400,906050,1,,
18,f,133333,906242,1,,
19,e,2777061,906308,4,,
20,f,339638,912363,4,,
21,e,18842,912416,4,,
22,c,145076,912464,4,,
23,b,6129666,926406,16,,
24,b,4939,926450,16,,
25,b,45200,926459,16,,
26,c,19708155,930392,8,,
27,e,7248545,930730,8,,
28,d,5751923,930880,8,,
29,b,13672446,931137,8,,
30,e,157078,931720,8,,
31,b,27466505,938339,8,,
32,b,104459,946857,8,,
33,c,389016,952206,16,,
34,a,11771799,953266,16,,
35,d,6716379,953317,16,,
36,b,5239798,956090,8,,
37,a,3598447,961716,8,,
38,a,707797,961993,8,,
39,d,37076,963028,4,,
40,e,779201,981636,1,,
41,e,3865,982125,1,,
42,a,17966,989813,4,,
43,e,219464,990126,4,,
44,b,12953525,990526,1,,
45,d,533286,991447,4,,
46,e,11093523,991717,4,,
47,b,8788,993353,1,,
48,c,559872,996568,1,,
49,e,23072,999486,4,,
50,e,6318472,999520,1,,
51,b,565576,999843,1,,
52,e,404907,1000852,4,,
53,b,1643,1003841,1,,
54,e,146329,1004148,1,,
55,e,6164,1004200,8,,
56,d,279754,1005202,8,,
57,c,6238,1006297,1,,
58,a,1446,1007947,1,,
59,c,1036052,1013092,16,,
60,f,565127,1020508,4,,
61,b,591447,1022485,8,,
62,f,102534,1022622,16,,
63,a,21721,1022908,1,,
64,e,1779,1023510,4,,
65,c,337294,1023955,16,,
66,d,172367,1024189,8,,
67,f,18271586,1025721,8,,
68,f,350315,1025799,8,,
69,a,5815447,1028041,4,,
70,f,177284,1028741,4,,
71,d,177366,1029550,4,,
72,a,244449,1030698,1,,
73,d,24020,1033426,8,,
74,f,347737,1041491,16,,
75,a,8601957,1042649,8,,
76,f,145090,1058834,1,,
77,d,845500,1061017,1,,
78,e,9153220,1062049,8,,
79,f,3208691,1062109,8,,
80,e,5287995,1062187,4,,
81,f,2840252,1064146,1,,
82,b,526972,1064215,1,,
83,e,64510,1068634,4,,
84,a,28978763,1071580,8,,
85,f,94081,1078287,16,,
86,f,8628,1078349,1,,
87,b,458795,1078499,1,,
88,c,219464,1078520,2,,
89,c,188501,1078558,1,,
90,d,7777968,1081252,4,,
91,a,31071,1083560,1,,
92,a,354382,1087027,1,,
93,c,10669718,1088222,1,,
94,a,18024017,1092167,4,,
95,f,90084,1093901,1,,
96,a,4146987,1095354,1,,
97,a,2558233,1095394,1,,
98,b,7138947,1095479,1,,
99,a,13646164,1095513,1,,
100,d,1589150,1095546,1,,
101,c,1046718,1095578,1,,
102,c,2273631,1095698,1,,
103,b,22249131,1095725,1,,
104,c,508779,1095751,1,,
105,c,2358114,1095787,1,,
106,b,3118042,1095885,1,,
107,b,1803571,1095914,1,,
108,e,3182484,1098912,1,,
109,b,11877744,1098951,1,,
110,a,8055785,1098983,1,,
111,f,86974,1099017,1,,
112,b,521221,1099054,1,,
113,f,30550894,1099104,1,,
114,f,70930,1099265,8,,
115,d,9989726,1101445,8,,
116,a,59061,1105595,8,,
117,c,77576,1105635,8,,
118,a,2509850,1105822,8,,
119,d,2558620,1111825,8,,
120,a,60897837,1114093,8,,
121,e,143132,1114608,8,,
122,c,22924,1115754,8,,
123,b,23728033,1118114,1,,
124,d,53957,1119028,4,,
125,d,980107,1133603,8,,
126,c,6519,1149652,4,,
127,b,656734,1152816,1,,
128,d,202653,1155403,8,,
129,f,653007,1157802,1,,
130,e,15852,1158164,1,,
131,c,16350,1158343,1,,
132,e,3087265,1161486,1,,
133,d,149480,1161506,1,,
134,e,22473122,1161521,1,,
135,e,532683,1161554,1,,
136,e,13201485,1161574,1,,
137,f,513449,1161592,1,,
138,c,657531,1161607,1,,
139,e,31051092,1161611,1,,
140,b,89054,1161628,1,,
141,d,18730,1163262,4,,
142,f,108996,1165251,1,,
143,d,904899,1165268,1,,
144,f,1770151,1165288,1,,
145,e,15161868,1165303,1,,
146,f,2283312,1165316,1,,
147,a,8064522,1165329,1,,
148,b,5811505,1165345,1,,
149,f,30664370,1165363,1,,
150,c,13405896,1165380,1,,
151,f,60816,1165398,1,,
152,c,2286369,1165414,1,,
153,f,1848303,1165433,1,,
154,a,1048928,1165455,1,,
155,b,14366573,1165474,1,,
156,c,116812,1165490,1,,
157,c,523606,1165508,1,,
158,f,5554576,1165528,1,,
159,e,105178,1165542,1,,
160,b,360147,1167323,1,,
161,f,1879245,1167678,1,,
162,c,888019,1167697,1,,
163,e,3166082,1167711,1,,
164,d,2363803,1167724,1,,
165,b,313967,1167735,1,,
166,e,12030939,1167748,1,,
167,d,5485400,1167770,1,,
168,f,310647,1178118,1,,
169,e,5786883,1181272,8,,
170,d,30998,1194187,4,,
171,a,40795,1194668,4,,
172,f,1559851,1195817,4,,
173,b,12758811,1207706,8,,
174,e,3094,1223535,16,,
175,e,2240304,1233608,1,,
176,c,901824,1233879,1,,
177,e,2072,1234963,1,,
178,c,2953093,1238400,8,,
179,e,17513699,1240489,8,,
180,d,2187666,1241289,4,,
181,a,14535,1241695,4,,
182,e,107201,1244100,1,,
183,c,434074,1245265,4,,
184,f,1917802,1245289,1,,
185,b,810493,1245296,8,,
186,a,155118,1245315,1,,
187,f,783417,1245511,1,,
188,f,56259,1245523,16,,
189,f,810009,1245524,1,,
190,d,1083946,1245696,1,,
191,f,137374,1251322,1,,
192,b,47986641,1251444,8,,
193,b,2428459,1251720,8,,
194,a,1399368,1251798,4,,
195,f,16368,1251897,4,,
196,a,41978,1252909,1,,
197,b,7349561,1253665,4,,
198,e,1675834,1254374,1,,
199,f,18178,1255259,4,,
200,c,142390,1255294,4,,
201,e,1915529,1255314,4,,
202,c,13959,1255332,4,,
203,a,2246456,1255347,4,,
204,d,1138341,1261278,1,,
205,f,181788,1262028,8,,
206,d,4654836,1262609,8,,
207,e,24567830,1271714,8,,
208,e,515632,1272262,8,,
209,b,5286628,1273245,8,,
210,a,577992,1273276,8,,
211,c,247842,1275933,16,,
212,e,59189,1277547,8,,
213,e,69494,1278989,4,,
214,b,50978,1279070,4,,
215,b,122955,1280138,1,,
216,c,82510,1283033,16,,
217,e,5576679,1284564,4,,
218,b,13614231,1284590,4,,
219,f,702524,1284627,4,,
220,c,2999476,1284690,4,,
221,a,3728909,1284714,4,,
222,a,1686559,1284745,4,,
223,b,103008,1293192,8,,
224,a,183997,1297699,16,,
225,a,498668,1300071,8,,
226,b,19896,1312082,16,,
227,f,609923,1322871,2,,
228,c,845,1326576,8,,
229,e,21622689,1336414,8,,
230,e,10795751,1339183,8,,
231,d,2287772,1350010,8,,
232,b,4471,1355804,16,,
233,d,2327,1357023,16,,
234,e,628310,1359082,1,,
235,a,11332,1365390,1,,
236,b,285990,1368361,16,,
237,b,14750,1368374,16,,
238,b,3629,1369754,4,,
239,b,94742,1370008,4,,
240,a,99920,1371390,4,,
241,b,63935,1371422,4,,
242,e,1021300,1372983,16,,
243,e,16603,1372999,16,,
244,c,379775,1373136,4,,
245,b,257626,1373901,4,,
246,e,542672,1378443,4,,
247,c,19478,1378546,4,,
248,a,2013187,1384680,8,,
249,d,14950628,1409023,8,,
250,c,127617186,1422864,8,,
251,c,10551,1431972,4,,
252,e,36501,1432024,4,,
253,a,1555744,1432085,4,,
254,f,5192517,1432295,4,,
255,e,438178,1450085,1,,
256,f,16470,1450087,16,,
257,e,12093,1462880,4,,
258,e,3872043,1463221,8,,
259,c,613,1466312,4,,
260,c,62645,1495907,4,,
261,d,79704,1497030,4,,
262,c,368976,1498794,4,,
263,f,3806,1500042,4,,
264,a,5607210,1501448,8,,
265,d,14234,1501577,4,,
266,f,405422,1523791,8,,
267,d,2553856,1541381,4,,
268,e,635677,1542152,4,,
269,d,22636,1542833,4,,
270,b,3193470,1544882,4,,
271,c,5188442,1544974,4,,
272,f,30634,1546316,8,,
273,e,9000367,1550718,8,,
274,f,236226,1550798,4,,
275,a,62075,1560182,2,,
276,e,6320419,1579787,4,,
277,a,86026,1580632,8,,
278,d,1924690,1581732,4,,
279,e,339356,1583559,16,,
280,e,986,1584868,8,,
281,a,440770,1587106,4,,
282,d,89227976,1587573,8,,
283,d,3611,1590920,1,,
284,b,256309,1592975,1,,
285,c,93141,1592985,1,,
286,c,3530,1592992,1,,
287,b,70162,1593003,1,,
288,c,34633,1593012,1,,
289,e,9269,1593019,1,,
290,b,9593,1593027,1,,
291,f,1844,1593034,1,,
292,d,271209,1593050,1,,
293,b,416508,1593057,1,,
294,a,240635,1593064,1,,
295,c,54831,1593071,1,,
296,b,49656,1599339,8,,
297,d,349307,1601032,4,,
298,a,754465,1601053,4,,
299,e,259050,1601071,4,,
300,c,7105,1601178,4,,
301,d,13057,1601204,4,,
302,c,852892,1601625,2,,
303,a,243106,1602535,4,,
304,c,6657,1602805,4,,
305,f,5740,1602931,4,,
306,f,779557,1603522,4,,
307,c,236002,1604537,8,,
308,d,7122185,1606851,1,,
309,b,36150,1608348,1,,
310,c,3765,1608397,1,,
311,a,273838,1608755,1,,
312,e,7370,1608762,1,,
313,e,2417,1608770,1,,
314,d,2197,1608778,1,,
315,f,1803,1608786,1,,
316,c,278817,1608793,1,,
317,c,74605,1608801,1,,
318,e,51061,1608814,1,,
319,f,151052,1608822,1,,
320,e,18137,1608828,1,,
321,c,3561,1608835,1,,
322,d,105653,1608843,1,,
323,c,50559,1608850,1,,
324,e,472086,1608857,1,,
325,d,990370,1608864,1,,
326,c,339505,1608886,1,,
327,c,133730,1608894,1,,
328,b,1917,1608902,1,,
329,d,247724,1608914,1,,
330,d,198995,1608921,1,,
331,a,528275,1608929,1,,
332,c,39584,1608935,1,,
333,c,40348,1608942,1,,
334,b,26337,1608974,1,,
335,e,194981,1608983,1,,
336,b,29048,1608991,1,,
337,d,14494,1608998,1,,
338,d,5465,1609005,1,,
339,a,30922,1609014,1,,
340,f,623848,1609023,1,,
341,b,1009,1609030,1,,
342,e,288709,1609055,1,,
343,c,1669,1609064,1,,
344,f,101992,1609071,1,,
345,f,230792,1609078,1,,
346,b,34361,1609085,1,,
347,d,1390,1609092,1,,
348,a,4991,1609100,1,,
349,a,37675,1609126,1,,
350,a,466146,1609133,1,,
351,d,25843,1609140,1,,
352,f,221668,1609148,1,,
353,d,25553,1610336,16,,
354,f,3871,1612763,1,,
355,f,14208845,1619883,8,,
356,e,3376,1629463,8,,
